code,name,fc,vg,cs,si,loc
A14069,사천탕수육,FC22S03,VG07,CS02,"SI08, SI05, SI01, SI03, SI02",RC10
A14070,삼겹살스테이크,FC03S03,VG07,CS13,SI01,RC10
A14071,새우로제파스타,FC07S05,VG05,CS09,"SI01, SI06",RC10
A14072,새우샤오롱바오,FC07S04,VG05,CS02,"SI08, SI01",RC10
A14073,새우오일파스타,FC07S05,VG05,CS09,SI01,RC10
A14074,새우크림파스타,FC07S05,VG05,CS09,SI01,RC10
A14075,새우토마토스파게티,FC07S05,VG05,CS09,"SI08, SI01",RC10
A14076,샤오롱바오,FC07S04,VG07,CS02,,RC10
A14077,소갈비살꼬지,FC03S03,VG07,CS01,"SI01, SI11",RC10
A14078,소고기부리또,FC10S04,VG07,CS07,"SI08, SI02",RC10
A14079,소고기퀘사디아,FC10S04,VG07,CS07,"SI01, SI06",RC10
A14080,소고기타코,FC10S04,VG07,CS07,"SI11, SI10, SI06, SI01",RC10
A14081,새우(쉬림프)부리또,FC10S04,VG05,CS07,"SI02, SI08, SI06",RC10
A14082,소곱창쌀국수,FC07S02,VG07,CS13,"SI06, SI01",RC10
A14083,소대창쌀국수,FC07S02,VG07,CS13,"SI06, SI01",RC10
A14084,소유라멘,FC07S03,VG07,CS03,"SI08, SI02, SI01",RC10
A14085,소힘줄(스지) 쌀국수,FC07S02,VG07,CS13,"SI06, SI01",RC10
A14086,시오라멘,FC07S03,VG07,CS03,"SI01, SI02, SI08, SI09",RC10
A14087,시카고피자,FC10S10,VG02,CS09,"SI06, SI01",RC10
A14088,쏨땀,FC11S03,VG05,CS04,"SI06, SI08",RC10
A14089,아라비아따파스타,FC07S05,VG07,CS09,"SI01, SI06",RC10
A14090,알리오올리오파스타,FC07S05,VG01,CS09,SI01,RC10
A14091,양갈비살꼬치,FC03S03,VG07,CS02,SI01,RC10
A14092,양꼬치,FC03S03,VG07,CS02,SI01,RC10
A14093,양장피,FC11S03,VG05,CS13,"SI06, SI08, SI01, SI02",RC10
A14094,양지쌀국수,FC07S02,VG07,CS05,"SI06, SI01",RC10
A14095,어니언베이컨피자,FC10S10,VG07,CS12,"SI06, SI08, SI01",RC10
A14096,에비(텐)동,FC08S03,VG05,CS03,"SI02, SI08",RC10
A14097,에비카츠,FC22S02,VG05,CS03,,RC10
A14098,연어포케,FC08S03,VG05,CS13,"SI11, SI06, SI08",RC10
A14099,오일파스타,FC07S05,VG02,CS09,SI01,RC10
A14100,오코노미야끼,FC16S02,VG07,CS03,"SI02, SI06",RC10
A14101,오피자,FC10S10,VG02,CS13,"SI01, SI06, SI08",RC10
A14102,우삼겹커리,FC19S01,VG07,CS13,SI01,RC10
A14103,우삼겹팟타이,FC07S02,VG07,CS13,SI05,RC10
A14104,우육면,FC07S06,VG07,CS06,"SI01, SI02, SI03, SI08",RC10
A14105,유린기,FC22S03,VG06,CS02,"SI11, SI08, SI02",RC10
A14106,유산슬,FC09S01,VG07,CS02,"SI05, SI02, SI01",RC10
A14107,중화냉면,FC07S02,VG06,CS13,"SI08, SI01, SI06",RC10
A14108,중화볶음면,FC07S02,VG05,CS13,"SI02, SI05, SI08",RC10
A14109,짜조,FC22S01,VG07,CS05,"SI01, SI08, SI06",RC10
A14110,짬뽕 쌀국수,FC07S02,VG05,CS13,"SI02, SI01",RC10
A14111,짬뽕차돌쌀국수,FC07S02,VG07,CS13,"SI02, SI01",RC10
A14112,차돌양지쌀국수,FC07S02,VG07,CS13,"SI06, SI01",RC10
A14113,차슈동,FC08S03,VG07,CS03,"SI02, SI08, SI09",RC10
A14114,차슈라멘,FC07S03,VG07,CS03,"SI01, SI02, SI08, SI09",RC10
A14115,차슈바오,FC07S04,VG07,CS02,"SI01, SI02, SI08, SI09",RC10
A14116,찹스테이크,FC09S04,VG07,CS12,"SI01, SI06, SI07",RC10
A14117,춘권,FC22S01,VG05,CS02,SI01,RC10
A14118,치킨부리또,FC10S04,VG06,CS07,"SI08, SI02",RC10
A14119,치킨커리,FC19S01,VG06,CS06,"SI01, SI08",RC10
A14120,치킨퀘사디아,FC10S04,VG06,CS07,"SI06, SI01",RC10
A14121,치킨타코,FC10S04,VG06,CS07,"SI11, SI10, SI06, SI01",RC10
A14122,치킨파히타,FC10S01,VG06,CS07,SI01,RC10
A14123,치킨포케,FC08S03,VG06,CS13,"SI11, SI06, SI08",RC10
A14124,카레우동,FC07S02,VG07,CS03,,RC10
A14125,카이센동,FC08S03,VG05,CS02,"SI01, SI08",RC10
A14126,카츠나베,FC20S02,VG07,CS02,"SI02, SI08",RC10
A14127,카츠동,FC08S03,VG07,CS03,"SI02, SI08",RC10
A14128,크림리조또,FC08S04,VG07,CS09,"SI01, SI06, SI08",RC10
A14129,크림새우,FC22S02,VG05,CS02,"SI06, SI08",RC10
A14130,타코야끼,FC10S01,VG05,CS03,SI06,RC10
A14131,타코와사비,FC24S01,VG05,CS03,"SI02, SI06",RC10
A14132,탄두리치킨,FC03S03,VG06,CS06,SI06,RC10
A14133,탄탄멘,FC07S06,VG07,CS03,"SI02, SI03, SI06, SI08",RC10
A14134,토르티야,FC10S01,VG04,CS07,SI01,RC10
A14135,토마토계란볶음,FC09S04,VG03,CS02,SI01,RC10
A14136,토마토리조또,FC08S04,VG07,CS09,"SI01, SI08, SI06",RC10
A14137,튀김꽃빵,FC10S01,VG02,CS02,"SI08, SI01",RC10
A14138,팔보채,FC09S01,VG07,CS02,"SI02, SI01",RC10
A14139,팟타이,FC07S02,VG05,CS04,SI05,RC10
A14140,푸팟퐁커리,FC09S03,VG05,CS04,"SI02, SI05, SI06, SI08",RC10
A14141,풍기크림파스타,FC07S05,VG07,CS09,SI01,RC10
A14142,풍기피자,FC10S10,VG02,CS09,"SI06, SI08, SI01",RC10
A14143,플레인난,FC10S01,VG02,CS06,"SI01, SI08",RC10
A14144,피쉬볼,FC22S02,VG05,CS06,,RC10
A14145,하와이안피자,FC10S10,VG07,CS12,"SI06, SI08, SI01",RC10
A14146,해물누룽지탕,FC04S03,VG05,CS02,SI05,RC10
A14147,해물리조또,FC08S04,VG05,CS09,SI01,RC10
A14148,해물쌀국수,FC07S02,VG05,CS05,"SI06, SI01",RC10
A14149,해산물팟타이,FC07S02,VG05,CS04,SI05,RC10
A14150,훈제연어덮밥,FC08S03,VG05,CS03,"SI08, SI04",RC10
A14151,히레카츠(안심),FC22S03,VG07,CS03,"SI01, SI06",RC10
