Code,Food Name,대분류,중분류,fc,vg,cs,si
B11069,순살양념반간장반치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI04, SI08, SI09"
B11070,순살양념반후라이드반치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI04, SI08"
B11073,순살어니언치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI07, SI11, SI06"
B11074,순살크림(크리미)치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,SI01
B11075,순살파닭,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI08, SI09"
B11076,순살후라이드치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,SI01
B11079,스팸김치컵밥,일반외식 및 배달음식,배달음식,FC08S03,VG07,CS13,"SI02, SI04, SI08"
B11080,아보카도샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG04,CS12,"SI01, SI06"
B11081,양념반간장반치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI04, SI08, SI09"
B11082,양념반후라이드반치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI04, SI08"
B11083,어니언치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI07, SI11, SI06"
B11084,에그마요샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG04,CS12,"SI01, SI06"
B11085,에그샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG04,CS12,"SI01, SI06"
B11086,옛날통닭,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,SI01
B11087,우삼겹떡볶이,일반외식 및 배달음식,배달음식,FC09S02,VG07,CS01,"SI02, SI04, SI08"
B11090,자장떡볶이,일반외식 및 배달음식,배달음식,FC09S02,VG07,CS13,"SI04, SI06"
B11091,쟁반짜장,일반외식 및 배달음식,배달음식,FC07S06,VG07,CS13,"SI02, SI05, SI08"
B11094,제육컵밥,일반외식 및 배달음식,배달음식,FC08S03,VG07,CS01,"SI02, SI04, SI08"
B11096,차돌떡볶이,일반외식 및 배달음식,배달음식,FC09S02,VG07,CS01,"SI02, SI04, SI08"
